epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.72,1.07578,2.79874,1.39811,0.00376,0.91663,0.49279,0.32983,0.99378,3.60569,1.34161,0.00031438,0.00031438,0.00031438
2,453.381,1.00727,1.81513,1.24806,0.84596,0.16412,0.48729,0.32343,1.0825,3.33825,1.43077,0.000630318,0.000630318,0.000630318
3,654.3,1.02122,1.64176,1.24482,0.69848,0.57214,0.71213,0.42639,1.15543,2.76324,1.45135,0.00093324,0.00093324,0.00093324
4,840.631,1.00189,1.50381,1.21638,0.93162,0.54868,0.78475,0.51664,1.08413,2.4398,1.46849,0.00122315,0.00122315,0.00122315
5,1027.24,1.02731,1.52694,1.24066,0.75545,0.63427,0.75374,0.51166,1.15963,2.25196,1.51388,0.00131582,0.00131582,0.00131582
6,1212.87,0.98121,1.42639,1.22397,0.83463,0.71853,0.79199,0.50238,1.24267,2.04123,1.54308,0.00128753,0.00128753,0.00128753
7,1413.18,0.9915,1.34287,1.21373,0.83919,0.70067,0.8096,0.53805,1.07915,2.24493,1.34677,0.00125923,0.00125923,0.00125923
8,1600.45,0.96851,1.24013,1.19398,0.78377,0.75748,0.80207,0.54444,1.1729,1.84865,1.55464,0.00123094,0.00123094,0.00123094
9,1789.38,0.9991,1.23292,1.24348,0.835,0.77282,0.85859,0.57354,1.12423,1.83275,1.46663,0.00120265,0.00120265,0.00120265
10,1975.85,0.91444,1.04439,1.15747,0.83708,0.81188,0.87562,0.59853,1.10776,1.45205,1.3653,0.00117435,0.00117435,0.00117435
11,2170.4,0.95494,1.11786,1.16884,0.88441,0.87486,0.89837,0.6139,1.02536,1.39634,1.32355,0.00114606,0.00114606,0.00114606
12,2355.44,0.897,1.0593,1.14625,0.82317,0.88166,0.8946,0.63063,1.03254,1.24461,1.33304,0.00111776,0.00111776,0.00111776
13,2545.65,0.90656,1.0024,1.15102,0.91252,0.84305,0.91656,0.6452,0.97396,1.24823,1.27286,0.00108947,0.00108947,0.00108947
14,2729.71,0.9023,1.00183,1.12572,0.88226,0.75042,0.89493,0.6347,0.97527,1.39503,1.28201,0.00106118,0.00106118,0.00106118
15,2912.52,0.88088,0.97245,1.13939,0.88255,0.92142,0.92342,0.65677,1.01458,1.11045,1.30381,0.00103288,0.00103288,0.00103288
16,3096.01,0.80299,0.88721,1.08086,0.83623,0.91312,0.94572,0.70215,0.88464,1.12093,1.23436,0.00100459,0.00100459,0.00100459
17,3280.2,0.81428,0.85971,1.10458,0.82031,0.87892,0.90628,0.66371,0.93026,1.04395,1.27795,0.000976293,0.000976293,0.000976293
18,3463.24,0.82644,0.87017,1.1071,0.89362,0.93023,0.9578,0.71452,0.85722,0.89181,1.18978,0.000947999,0.000947999,0.000947999
19,3646.13,0.78762,0.81287,1.07749,0.90697,0.8853,0.9329,0.6674,0.99683,0.9534,1.23252,0.000919704,0.000919704,0.000919704
20,3826.62,0.77215,0.78197,1.07311,0.91215,0.93537,0.9383,0.709,0.86436,0.84448,1.1757,0.00089141,0.00089141,0.00089141
21,4006.53,0.77698,0.77295,1.08726,0.89742,0.94669,0.9528,0.73332,0.85744,0.83145,1.17318,0.000863116,0.000863116,0.000863116
22,4189.34,0.7634,0.7665,1.08274,0.93459,0.95271,0.97293,0.74066,0.89096,0.82045,1.18188,0.000834822,0.000834822,0.000834822
23,4372.06,0.74778,0.71192,1.05205,0.88672,0.94468,0.95313,0.7185,0.85635,0.86593,1.15141,0.000806528,0.000806528,0.000806528
24,4555.32,0.70548,0.66167,1.02958,0.86466,0.95349,0.94637,0.73525,0.82673,0.78373,1.15571,0.000778233,0.000778233,0.000778233
25,4740.02,0.76097,0.70159,1.06518,0.88355,0.94669,0.94807,0.71,0.86371,0.7876,1.19847,0.000749939,0.000749939,0.000749939
26,4923.6,0.72314,0.68212,1.05109,0.87094,0.92721,0.92627,0.72344,0.80888,0.79916,1.15084,0.000721645,0.000721645,0.000721645
27,5106.18,0.71062,0.66236,1.03019,0.90101,0.93883,0.94015,0.7319,0.79356,0.72733,1.11424,0.000693351,0.000693351,0.000693351
